,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
71,Izumo,JP,44.6,35.37,132.77,75,75,19.46
72,Zarand,IR,21.66,30.81,56.56,67,0,4.7
73,Hilo,US,71.67,19.73,-155.09,61,1,9.17
74,Teriberka,RU,21.93,69.16,35.15,100,80,3.02
75,Damaia,PT,54.66,38.75,-9.21,51,0,8.05
76,Awjilah,LY,49.92,29.11,21.29,70,0,3.13
77,Cape Town,ZA,59,-33.93,18.42,87,0,5.82
78,Port Alfred,ZA,59.41,-33.59,26.89,98,0,4.47
79,Maumere,ID,80.97,-8.62,122.21,100,48,3.47
80,Jinhua,CN,3.21,41.43,128.03,58,48,7.27
81,Narsaq,GL,21.2,60.92,-46.05,62,68,4.7
82,Esperance,AU,57.34,-33.87,121.9,96,36,2.91
83,Barenburg,DE,39.69,52.62,8.8,86,75,13.87
84,Cumnock,GB,35.49,55.45,-4.27,69,20,8.95
85,Bara,NG,73.59,10.37,10.73,52,0,3.13
86,Chuy,UY,58.74,-33.7,-53.46,78,32,19.46
87,Ulaangom,MN,-14.89,49.98,92.07,54,8,1.9
88,Kruisfontein,ZA,57.12,-34,24.73,95,0,4.92
89,Amparihy,MG,71.6,-25.02,46.97,88,75,4.7
90,Berlevag,NO,32.59,70.86,29.09,100,92,5.93
91,Ewo,CG,70.98,-0.87,14.82,97,80,1.57
92,Pisco,PE,69.8,-13.7,-76.22,73,0,16.11
93,Longyearbyen,SJ,24.8,78.22,15.64,58,40,21.92
94,Adrar,DZ,57.2,27.87,-0.29,33,0,11.41
95,Cayenne,GF,82.4,4.93,-52.33,78,20,3.36
96,Los Alamos,US,46.53,35.89,-106.31,28,1,3.36
97,Sosnovo-Ozerskoye,RU,4.92,52.52,111.54,69,56,7.72
98,Camana,PE,63.46,-16.62,-72.71,98,24,8.16
99,Hokitika,NZ,58.6,-42.72,170.97,90,36,3.24
100,Belyy Yar,RU,12.2,53.6,91.39,85,68,2.24
101,Bajil,YE,66.88,15.06,43.29,84,0,3.8
102,Salalah,OM,78.8,17.02,54.09,69,0,4.7
103,Coahuayana,MX,82.4,18.73,-103.68,61,20,9.17
104,Yulara,AU,73.4,-25.24,130.99,69,40,9.17
105,Geraldton,AU,57.2,-28.77,114.6,87,64,6.15
106,Madang,PG,76.06,-5.22,145.8,100,56,2.8
107,Saint George,US,55.4,37.1,-113.58,16,1,3.13
108,Varnek,RU,14.28,69.71,60.05,100,20,8.72
109,Victoria,CA,48.56,48.43,-123.37,76,75,3.36
110,Georgetown,GY,86,6.8,-58.16,66,20,11.41
111,Luderitz,NA,59.46,-26.65,15.16,67,0,14.32
112,Atuona,PF,78.58,-9.8,-139.03,100,80,12.97
113,Tarn Taran,IN,51.69,31.45,74.93,76,0,2.91
114,Lata,PT,50,40.16,-8.33,93,20,2.24
115,Long Xuyen,VN,72.46,10.38,105.42,100,92,3.69
116,Yarada,IN,80.56,17.65,83.27,100,88,4.92
117,Fare,PF,78.94,-16.7,-151.02,100,44,21.03
118,Tuktoyaktuk,CA,3.2,69.45,-133.04,84,90,12.75
119,Ivanteyevka,RU,35.15,55.97,37.92,94,90,8.95
120,Ancud,CL,52.39,-41.87,-73.82,97,88,8.61
121,Bethel,US,48.67,41.37,-73.41,93,75,3.36
122,Cabo San Lucas,MX,90.48,22.89,-109.91,22,5,11.41
123,Tuatapere,NZ,51.13,-46.13,167.68,100,0,4.59
124,Alofi,NU,84.2,-19.06,-169.92,74,75,10.29
125,Jonkoping,SE,37.4,57.78,14.16,93,76,6.93
126,Cleburne,US,63.82,32.35,-97.39,39,1,23.04
127,Bure,ET,54.46,10.7,37.07,73,32,2.68
128,Alihe,CN,-15.47,50.57,123.72,65,0,5.7
129,Hobart,AU,68,-42.88,147.33,49,0,11.41
130,Kununurra,AU,80.6,-15.77,128.73,83,75,6.93
131,Tiznit,MA,47.13,29.58,-9.5,95,0,2.68
132,Tilichiki,RU,26.11,60.47,166.1,84,36,16.67
133,Norman Wells,CA,-5.81,65.28,-126.83,76,75,4.7
134,Rudnik,RU,5.86,69.75,61.65,82,44,5.37
135,Suntar,RU,-11.51,62.14,117.63,75,56,5.37
136,Marevo,RU,34.44,57.31,32.08,89,76,14.32
137,Saldanha,ZA,57.2,-33.01,17.94,82,0,3.36
138,Krasnyy Bor,RU,35.6,59.68,30.67,93,75,6.71
139,Dinguiraye,GN,76.38,11.3,-10.72,41,80,5.14
140,Praia,CV,77,14.92,-23.51,73,40,11.41
141,Grindavik,IS,29.84,63.84,-22.43,100,90,6.93
142,Faanui,PF,79.03,-16.48,-151.75,100,76,20.58
143,Mahebourg,MU,75.2,-20.41,57.7,88,40,5.82
144,Arman,RU,5,59.7,150.17,100,90,2.68
145,Nova Olimpia,BR,83.89,-14.8,-57.29,76,76,6.38
146,Shebunino,RU,30.25,46.43,141.86,100,80,13.42
147,Manta,EC,80.6,-0.95,-80.73,69,40,13.87
148,Tazovskiy,RU,0.96,67.47,78.7,73,80,7.05
149,Presidencia Roque Saenz Pena,AR,77.68,-26.79,-60.44,24,0,18.01
150,Sarahan,IN,-10.07,31.52,77.8,72,20,1.01
151,Nishihara,JP,65.16,26.18,127.76,59,75,19.46
152,Lakatoro,VU,79.98,-16.1,167.42,85,32,8.72
153,Starobesheve,UA,33.18,47.75,38.03,93,32,6.71
154,Dindigul,IN,77,10.35,77.95,83,40,2.13
155,Carauari,BR,88.03,-4.88,-66.9,66,36,0.67
156,Sulzbach-Rosenberg,DE,38.03,49.5,11.75,96,90,8.05
157,Sao Filipe,CV,77.46,14.9,-24.5,98,0,11.86
158,Namibe,AO,70.08,-15.2,12.15,100,0,3.58
159,Kostroma,RU,31.06,57.77,40.93,94,80,10.4
160,Fairbanks,US,-15.98,64.84,-147.72,75,40,3.36
161,Casablanca,MA,59,33.59,-7.62,93,20,4.7
162,Port Elizabeth,ZA,64.32,-33.92,25.57,100,0,8.05
163,Vostok,RU,-10.61,46.49,135.88,68,20,2.91
164,Severo-Kurilsk,RU,37.86,50.68,156.12,98,92,34.9
165,Beloha,MG,66.61,-25.17,45.05,73,36,6.26
166,Brae,GB,42.8,60.4,-1.35,81,76,19.46
167,Salinas,US,65.26,36.68,-121.66,45,1,9.17
168,Danilov,RU,30.25,58.19,40.17,91,80,12.19
169,Bathsheba,BB,82.4,13.22,-59.52,83,40,13.87
170,Palmer,US,39.76,42.16,-72.33,80,90,3.36
171,Verkhoturye,RU,27.64,58.86,60.81,88,20,7.38
172,La Ronge,CA,10.4,55.1,-105.28,66,20,4.7
173,Dikson,RU,-3.64,73.51,80.55,100,24,11.07
174,Garachine,PA,78.81,8.06,-78.36,100,48,6.93
175,Haines Junction,CA,4.6,60.75,-137.51,92,56,2.68
176,Talnakh,RU,-20.11,69.49,88.4,87,20,3.13
177,Edd,ER,68.41,13.93,41.69,51,0,6.15
178,Iqaluit,CA,14,63.75,-68.51,61,75,13.87
179,Balabac,PH,81.46,7.99,117.06,100,24,6.93
180,Saskylakh,RU,-0.4,71.92,114.08,77,64,7.49
181,Isangel,VU,74.31,-19.55,169.27,100,88,6.49
182,Te Anau,NZ,47.08,-45.42,167.72,91,24,2.46
183,Manicore,BR,90.28,-5.81,-61.3,59,24,2.24
184,Fairview,US,47.21,40.81,-74,81,90,11.74
185,Mecca,SA,68.86,21.43,39.83,74,0,0.11
186,Warrington,GB,44.98,53.39,-2.58,75,75,13.87
187,Provideniya,RU,35.52,64.38,-173.3,100,100,20.47
188,Bambous Virieux,MU,75.2,-20.34,57.76,88,40,5.82
189,Megion,RU,19.4,61.03,76.11,100,75,4.47
190,Necochea,AR,58.29,-38.55,-58.74,81,0,11.63
191,Revda,RU,30.2,56.8,59.93,86,75,8.95
192,Vanimo,PG,83.76,-2.67,141.3,100,48,12.64
193,Lebu,CL,55.59,-37.62,-73.65,98,0,14.32
194,Archidona,ES,47.21,37.1,-4.39,87,0,4.7
195,Cidreira,BR,70.98,-30.18,-50.21,77,92,10.63
196,Russell,US,53.6,38.9,-98.86,27,1,27.51
197,Neath,GB,47.07,51.66,-3.8,93,90,9.17
198,Buala,SB,83.31,-8.14,159.59,90,76,4.25
199,Hithadhoo,MV,82.86,-0.6,73.08,100,80,10.74
200,Najran,SA,57.2,17.49,44.13,35,0,2.57
201,Saint-Philippe,RE,74.35,-21.36,55.77,83,75,4.7
202,Shakawe,BW,66.12,-18.37,21.85,21,0,7.83
203,Kodiak,US,37.4,57.79,-152.41,59,1,11.41
204,Ponta do Sol,PT,66.2,32.67,-17.1,72,75,16.11
205,Jardim,BR,70.21,-21.48,-56.14,100,92,10.74
206,Guerrero Negro,MX,80.52,27.98,-114.06,54,32,2.91
207,Caravelas,BR,78.4,-17.71,-39.25,97,56,16.44
208,Hobyo,SO,78.36,5.35,48.53,80,0,17.34
209,Chakia,IN,65.98,26.42,85.05,79,0,4.92
210,Buk,PL,38.37,52.36,16.52,93,75,12.75
211,Hambantota,LK,79.84,6.12,81.12,100,0,4.03
212,Lagoa,PT,66.88,39.05,-27.98,100,76,18.9
213,Ojinaga,MX,78.31,29.57,-104.42,16,0,7.38
214,Bangassou,CF,73.23,4.74,22.82,92,80,3.24
215,Marfino,RU,35.17,55.7,37.38,86,90,6.71
216,Clyde River,CA,-18.41,70.47,-68.59,75,40,0.78
217,Portland,US,49.12,45.52,-122.68,62,75,5.82
218,Dois Vizinhos,BR,68.41,-25.73,-53.06,97,92,5.59
219,Puerto Madryn,AR,66.66,-42.77,-65.04,54,92,24.72
220,Maniitsoq,GL,10.36,65.42,-52.9,100,0,9.95
221,Lorengau,PG,78.8,-2.02,147.27,94,75,4.25
222,Lima,PE,68.28,-12.04,-77.03,52,24,2.68
223,Pyt-Yakh,RU,19.63,60.75,72.86,89,64,8.95
224,Kargasok,RU,24.85,59.06,80.86,89,76,6.6
225,Fortuna,US,54.25,40.6,-124.16,50,1,2.35
226,Dingle,PH,76.38,11,122.67,95,80,4.14
227,Binzhou,CN,21.43,37.37,118.02,51,48,3.58
228,Nuuk,GL,23,64.18,-51.72,73,20,19.46
229,Leningradskiy,RU,23.73,69.38,178.42,100,92,34.67
230,Ewa Beach,US,78.35,21.32,-158.01,57,20,10.29
231,Hirado,JP,46.4,33.36,129.55,52,75,18.34
232,Nantucket,US,51.46,41.28,-70.1,76,75,9.17
233,Nyurba,RU,-8.81,63.28,118.33,65,80,5.37
234,Scarborough,GB,39.2,54.28,-0.4,80,0,9.17
235,Tahe,CN,-8.59,52.33,124.73,46,8,7.61
236,Motupe,PE,69.8,-6.15,-79.71,73,40,20.8
237,Tierralta,CO,84.03,8.17,-76.06,70,80,7.72
238,Padang,ID,77.86,-0.95,100.35,100,76,3.36
239,High Rock,BS,80.6,26.62,-78.28,57,20,5.82
240,Annau,TM,44.6,37.89,58.52,70,20,3.36
241,Mayo,US,55.13,38.89,-76.51,71,90,12.75
242,Goldsboro,US,66.22,35.38,-77.99,63,75,11.41
243,Dawei,MM,76.69,14.08,98.2,95,68,2.35
244,Kidal,ML,65.04,18.44,1.41,31,32,7.16
245,Novobirilyussy,RU,21.61,56.95,90.67,85,64,7.83
246,Buzmeyin,TM,44.6,38.05,58.21,70,20,3.36
247,Kulgam,IN,24.18,33.65,75.02,67,36,1.68
248,Tabou,CI,79.17,4.42,-7.35,100,76,9.95
249,Nanortalik,GL,28.68,60.14,-45.24,98,48,32.99
250,Dalvik,IS,17.6,65.97,-18.53,92,40,5.82
251,Avarua,CK,80.6,-21.21,-159.78,78,40,12.75
252,Plainview,US,50.59,40.78,-73.47,76,90,12.75
253,Omboue,GA,78.54,-1.57,9.26,100,68,7.38
254,Arcoverde,BR,82.09,-8.42,-37.05,43,92,4.47
255,Kuching,MY,75.2,1.55,110.33,94,75,1.12
256,Katherine,AU,77,-14.47,132.27,88,32,3.13
257,Lompoc,US,67.69,34.64,-120.46,37,1,9.17
258,Lovington,US,57.2,32.94,-103.35,16,5,14.99
259,Ajdabiya,LY,55.09,30.76,20.23,90,0,7.61
260,Verkhnevilyuysk,RU,-7.06,63.45,120.32,75,48,5.93
261,Big Spring,US,61.84,32.25,-101.48,21,1,21.92
262,Mogadishu,SO,81.91,2.04,45.34,100,0,17.34
263,Pacifica,US,60.35,37.61,-122.49,39,1,8.05
264,Fayaoue,NC,73.99,-20.65,166.53,100,88,12.08
265,Tibati,CM,75.84,6.47,12.63,43,24,6.38
266,Magadan,RU,5,59.57,150.8,100,90,2.91
267,Quatre Cocos,MU,75.2,-20.21,57.76,88,40,5.82
268,Kreminna,UA,31.38,49.05,38.22,93,76,6.26
269,Mar del Plata,AR,60.8,-38,-57.56,48,0,8.05
270,Katsuura,JP,46.4,35.13,140.3,42,40,23.04
271,Krasnotorka,UA,27.42,48.68,37.53,89,48,3.91
272,Nardaran,AZ,55.4,40.56,50.01,87,0,6.93
273,Mount Gambier,AU,65.22,-37.83,140.77,79,0,6.49
274,Svetlyy,RU,37.4,54.67,20.13,93,75,15.66
275,Bagdarin,RU,-24.43,54.43,113.6,31,44,2.46
276,Chacabuco,AR,67.24,-34.64,-60.47,27,0,12.19
277,Mitsamiouli,KM,79.03,-11.38,43.28,100,12,8.95
278,Aksu,CN,25.44,41.12,80.26,78,80,0.34
279,Lerwick,GB,42.8,60.15,-1.15,81,48,19.46
280,Qeshm,IR,63.66,26.96,56.27,48,0,6.93
281,Arraial do Cabo,BR,78.31,-22.97,-42.03,81,64,19.01
282,Saint-Georges,CA,24.72,46.62,-72.66,60,92,2.68
283,Alyangula,AU,83.04,-13.85,136.42,100,12,2.91
284,Benjamin Hill,MX,82.18,30.17,-111.1,29,8,4.7
285,San Patricio,MX,87.8,19.22,-104.7,70,20,11.41
286,Torbay,CA,39.2,47.67,-52.73,100,75,9.17
287,Hami,CN,20.08,42.8,93.45,62,0,6.04
288,Codrington,AU,64,-38.27,141.97,87,0,8.16
289,Eureka,US,54.36,40.8,-124.16,50,1,2.35
290,Hasaki,JP,38.8,35.73,140.83,60,20,11.41
291,Mimongo,GA,68.73,-1.62,11.61,98,64,2.24
292,Blackwater,AU,64.86,-23.58,148.88,100,92,8.61
293,Ostrovnoy,RU,24.04,68.05,39.51,90,80,6.15
294,Klaksvik,FO,39.2,62.23,-6.59,64,68,17.22
295,Callaguip,PH,77,18.07,120.49,94,20,2.24
296,Atikokan,CA,21.84,48.76,-91.62,70,80,8.16
297,Pavlohrad,UA,33.8,48.52,35.87,89,90,6.71
298,Piacabucu,BR,78.85,-10.41,-36.43,68,0,11.41
299,Kokstad,ZA,49.96,-30.55,29.42,52,0,0.34
300,Lavrentiya,RU,31.78,65.58,-171,100,92,31.65
301,Nome,US,26.6,64.5,-165.41,100,90,24.16
302,Ribeira Grande,PT,68,38.52,-28.7,94,75,5.82
303,Taganak,PH,77,6.08,118.3,94,75,2.24
304,Sitka,US,33.73,57.05,-135.33,100,90,8.28
305,Barcelos,PT,47.91,41.54,-8.62,71,0,2.01
306,Fukue,JP,54.78,32.69,128.84,100,32,25.95
307,Nemuro,JP,39.39,43.32,145.57,100,92,19.13
308,Debno,PL,39.84,52.74,14.7,95,64,14.65
309,Waynesboro,US,60.35,38.07,-78.89,50,1,12.75
310,Sandpoint,US,40.44,48.28,-116.55,78,75,4.7
311,Jizan,SA,80.6,16.89,42.55,74,0,5.82
312,Calvinia,ZA,49.69,-31.47,19.78,58,0,2.91
313,Arona,ES,64.92,28.1,-16.68,72,20,12.75
314,Sikar,IN,51.4,27.62,75.15,91,0,6.26
315,Coquimbo,CL,61.03,-29.95,-71.34,92,0,3.36
316,Khandyga,RU,-34.24,62.67,135.6,62,20,2.46
317,San Cristobal,VE,77,7.77,-72.22,94,40,4.7
318,Beyneu,KZ,23.73,45.32,55.2,88,0,8.05
319,Salto,UY,67.11,-31.38,-57.97,54,0,15.99
320,Vestmannaeyjar,IS,25.17,63.44,-20.27,100,0,6.38
321,Turukhansk,RU,-1.93,65.82,87.98,70,80,12.19
322,Prince Rupert,CA,41,54.32,-130.32,86,90,4.7
323,Souillac,MU,75.2,-20.52,57.52,88,40,5.82
324,Ponta Delgada,PT,66.2,37.73,-25.67,82,40,6.93
325,Sao Joao da Barra,BR,78.8,-21.64,-41.05,69,0,25.28
326,Tessalit,ML,61.75,20.2,1.01,25,0,6.71
327,Springdale,US,45.19,36.19,-94.13,65,90,23.04
328,Hoa Binh,VN,69.8,20.81,105.34,68,0,6.93
329,Merauke,ID,77.82,-8.47,140.33,100,44,6.49
330,Fukagawa,JP,21.2,43.71,142.04,92,75,3.36
331,Kieta,PG,80.38,-6.22,155.63,100,0,3.36
332,Komsomolskiy,UZ,39.2,40.43,71.72,60,20,6.93
333,Great Yarmouth,GB,39.2,52.61,1.73,86,24,8.05
334,Evensk,RU,15.63,61.95,159.23,100,0,12.41
335,Kirakira,SB,82.09,-10.45,161.92,100,80,9.4
336,Rohtak,IN,64.4,28.9,76.57,63,40,8.05
337,Tura,IN,63.28,25.52,90.22,92,0,2.68
338,Dekar,BW,64.09,-21.53,21.93,18,0,9.06
339,Akcaabat,TR,55.4,41.02,39.57,62,0,4.7
340,Hernani,ES,42.19,43.27,-1.98,93,0,2.24
341,San Onofre,CO,82.18,9.74,-75.53,82,68,11.52
342,Kendari,ID,76.83,-3.94,122.5,96,64,2.91
343,Kokopo,PG,78.99,-4.35,152.26,100,20,1.9
344,Xining,CN,17.61,36.62,101.77,93,92,2.46
345,Muros,ES,48.2,42.78,-9.06,87,0,3.36
346,Gigmoto,PH,79.71,13.78,124.39,100,64,4.7
347,Loandjili,CG,77,-4.76,11.86,88,20,4.7
348,Beringovskiy,RU,34.3,63.05,179.32,91,76,13.76
349,Aura,FI,37.4,60.62,22.58,93,88,1.12
350,Meadow Lake,US,50.88,34.8,-106.54,11,1,6.93
351,Puerto Quijarro,BO,84.61,-17.78,-57.77,70,92,14.2
352,Vila,PT,53.6,42.03,-8.16,71,0,6.93
353,Djibo,BF,77.14,14.1,-1.63,30,8,11.07
354,Buchanan,LR,78.8,5.88,-10.05,94,40,5.93
355,Daru,PG,78.49,-9.08,143.21,100,80,9.51
356,Rocha,UY,57.93,-34.48,-54.33,55,0,14.43
357,El Astillero,ES,48.2,43.4,-3.82,100,0,1.12
358,Port Lincoln,AU,64.18,-34.73,135.87,91,0,12.97
359,Kwinana,AU,56.05,-32.25,115.77,93,40,6.82
360,Togur,RU,28.63,58.36,82.83,92,80,8.95
361,Yuci,CN,21.2,37.68,112.73,73,12,2.24
362,Saint-Joseph,RE,74.39,-21.37,55.62,83,75,4.7
363,Noumea,NC,75.2,-22.28,166.46,50,0,3.36
364,Kaeo,NZ,57.12,-35.1,173.78,97,76,17.45
365,Goundam,ML,71.74,16.41,-3.67,33,88,10.85
366,Forestville,US,54.99,38.85,-76.88,54,1,5.82
367,Cassilandia,BR,75.43,-19.11,-51.73,96,64,4.7
368,Thyboron,DK,46.99,56.7,8.21,94,92,33.44
369,Mudanya,TR,54.25,40.38,28.88,87,75,1.01
370,Husavik,IS,17.6,66.04,-17.34,92,40,5.82
371,San Policarpo,PH,79.39,12.18,125.51,100,100,7.27
372,San Vicente,AR,70.08,-26.62,-54.13,79,76,7.61
373,Butte,US,33.8,46,-112.53,43,1,5.82
374,Koygorodok,RU,33.76,60.45,51,78,88,8.5
375,Semnan,IR,38.13,35.57,53.4,74,0,3.58
376,Vao,NC,71.11,-22.67,167.48,100,56,12.86
377,Mpika,ZM,72.19,-11.83,31.45,56,44,10.96
378,Corsicana,US,64.36,32.1,-96.47,42,1,23.04
379,Taoudenni,ML,58.96,22.68,-3.98,21,0,8.39
380,Yar-Sale,RU,14.41,66.83,70.83,96,76,8.05
381,Hamilton,CA,45.7,43.23,-79.95,100,90,6.93
382,Gari,RU,24.58,59.43,62.35,94,80,6.15
383,Saint-Augustin,CA,38.35,51.23,-58.65,100,92,16.11
384,Krasnyy Luch,UA,33.63,48.14,38.94,91,24,7.72
385,Aranos,NA,61.03,-24.13,19.12,13,0,6.82
386,Amahai,ID,82.32,-3.33,128.92,100,8,6.15
387,Aykhal,RU,-14.71,66,111.5,63,56,2.91
388,Nalut,LY,43.66,31.87,10.98,85,0,0.78
389,Trairi,BR,80.52,-3.28,-39.27,100,0,18.79
390,Aktash,RU,-2.42,50.3,87.73,67,24,3.13
391,Zabid,YE,70.89,14.2,43.32,79,0,6.82
392,Broome,AU,78.8,-17.97,122.23,83,36,4.59
393,Pavlodar,KZ,32,52.3,76.95,97,90,8.95
394,Shubarshi,KZ,17.43,48.59,57.19,74,32,3.13
395,Paamiut,GL,31.38,61.99,-49.67,100,56,5.82
396,Novi Troyany,UA,36.06,45.94,28.86,99,48,2.91
397,Ampanihy,MG,66.48,-24.7,44.75,69,56,9.28
398,Lasa,IT,27.01,46.62,10.7,78,0,2.24
399,Mosquera,CO,60.8,4.71,-74.23,77,40,10.29
400,Pevek,RU,25.03,69.7,170.31,87,88,9.84
401,Vila Velha,BR,78.8,-20.33,-40.29,74,20,20.8
402,Monrovia,LR,78.8,6.3,-10.8,94,40,7.61
403,Wuda,CN,14.37,39.5,106.71,64,80,2.35
404,Atar,MR,64.86,20.52,-13.05,24,0,6.49
405,Concepcion del Uruguay,AR,67.02,-32.48,-58.24,39,0,13.2
406,Touros,BR,79.98,-5.2,-35.46,76,0,13.2
407,Pilar,BR,77,-9.6,-35.96,83,40,10.29
408,Quelimane,MZ,78.8,-17.88,36.89,83,75,6.93
409,Aguie,NE,73.23,13.51,7.78,58,0,4.14
410,Rio Grande,BR,68,-32.03,-52.1,45,20,23.04
411,Antofagasta,CL,67.51,-23.65,-70.4,71,0,3.91
412,Olympia,US,52.23,47.04,-122.9,62,1,9.17
413,Presidente Venceslau,BR,73.4,-21.88,-51.84,69,0,2.24
414,Kholodnyy,RU,-38.87,62.72,147.95,72,0,2.35
415,Udachnyy,RU,-8.59,66.42,112.4,63,64,3.8
416,Bandarbeyla,SO,80.16,9.49,50.81,100,32,21.25
417,Teseney,ER,70.21,15.11,36.66,50,0,3.91
418,Naze,JP,62.6,28.37,129.48,51,75,12.75
419,Jinchang,CN,17.79,38.5,102.17,77,12,6.93
420,Yamaranguila,HN,82.4,14.28,-88.25,58,1,13.87
421,Xianshuigu,CN,28.4,38.98,117.38,39,0,2.24
422,Vysokogornyy,RU,-16.78,50.12,139.15,68,12,3.13
423,Kalundborg,DK,41,55.68,11.09,86,76,13.87
424,Bahia Blanca,AR,71.2,-38.72,-62.27,44,0,17.67
425,Shimoda,JP,52.48,34.67,138.95,100,48,12.41
426,Aguimes,ES,69.8,27.91,-15.45,73,75,11.41
427,Mangrol,IN,73.81,21.12,70.12,74,0,17.22
428,Birao,CF,83.31,10.28,22.79,43,92,5.59
429,Do Gonbadan,IR,53.6,30.36,50.8,37,0,1.9
430,North Platte,US,48.2,41.12,-100.77,29,1,18.34
431,Palimbang,PH,81.73,6.21,124.19,100,20,1.68
432,Galesong,ID,77,-5.32,119.37,88,20,3.36
433,Neiafu,TO,82.4,-18.65,-173.98,88,40,6.93
434,Am Timan,TD,82.81,11.03,20.28,42,12,6.82
435,Cascais,PT,54.59,38.7,-9.42,51,0,8.05
